[s],CH2[V]
-4.6880E-02,-6.1909322112E+00
-4.6860E-02,-6.2035698743E+00
-4.6840E-02,-6.2184538219E+00
-4.6820E-02,-6.1905718654E+00
-4.6800E-02,-6.2111760470E+00
-4.6780E-02,-6.1622060622E+00
-4.6760E-02,-6.1925108283E+00
-4.6740E-02,-6.1877756922E+00
-4.6720E-02,-6.2057070585E+00
-4.6700E-02,-6.1875089972E+00
-4.6680E-02,-6.1855389921E+00
-4.6660E-02,-6.1684477653E+00
-4.6640E-02,-6.1765988675E+00
-4.6620E-02,-6.1956863254E+00
-4.6600E-02,-6.1707830753E+00
-4.6580E-02,-6.1837529985E+00
-4.6560E-02,-6.1678923454E+00
-4.6540E-02,-6.1984481663E+00
-4.6520E-02,-6.1818027345E+00
-4.6500E-02,-6.2009752125E+00
-4.6480E-02,-6.1851425974E+00
-4.6460E-02,-6.1802656976E+00
-4.6440E-02,-6.1813856451E+00
-4.6420E-02,-6.1914513438E+00
-4.6400E-02,-6.1935486167E+00
-4.6380E-02,-6.1777742234E+00
-4.6360E-02,-6.1805898515E+00
-4.6340E-02,-6.1972237438E+00
-4.6320E-02,-6.1825639574E+00
-4.6300E-02,-6.1736339417E+00
-4.6280E-02,-6.1911965221E+00
-4.6260E-02,-6.1651114787E+00
-4.6240E-02,-6.1953583091E+00
-4.6220E-02,-6.1530941808E+00
-4.6200E-02,-6.1757443753E+00
-4.6180E-02,-6.1820794431E+00
-4.6160E-02,-6.1692197647E+00
-4.6140E-02,-6.1552558267E+00
-4.6120E-02,-6.1639015044E+00
-4.6100E-02,-6.1632724131E+00
-4.6080E-02,-6.1451778255E+00
-4.6060E-02,-6.1431439243E+00
-4.6040E-02,-6.1598179186E+00
-4.6020E-02,-6.1567853296E+00
-4.6000E-02,-6.1406514011E+00
-4.5980E-02,-6.1344641051E+00
-4.5960E-02,-6.1624130095E+00
-4.5940E-02,-6.1464665733E+00
-4.5920E-02,-6.1701141681E+00
-4.5900E-02,-6.1509002530E+00
-4.5880E-02,-6.1322274050E+00
-4.5860E-02,-6.1480243050E+00
-4.5840E-02,-6.1296361764E+00
-4.5820E-02,-6.1442951523E+00
-4.5800E-02,-6.1562538469E+00
-4.5780E-02,-6.1188145954E+00
-4.5760E-02,-6.1283590158E+00
-4.5740E-02,-6.1267039617E+00
-4.5720E-02,-6.1131779033E+00
-4.5700E-02,-6.1115748244E+00
