Vernier Format 2
Ge_Lampe.cmbl 06.10.2014 12:53:55 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

100,5	67,671116718	0,00732601	0,0525031	3057,62691611	0,405216213094
101	67,9973990535	0,025641	0,020757	3064,72884787	0,404277200857
101,5	68,5194507903	0,017094	0,043956	3075,88511761	0,402810882925
102	68,7804766587	0,0500611	0,0525031	3081,36755041	0,402094193481
102,5	69,3025283955	0,00732601	0,018315	3092,14044293	0,400693313538
103	69,5635542639	0,031746	0,0549451	3097,43067905	0,400008952058
103,5	70,0856060007	0,00976801	0,00732601	3107,81818206	0,398671970951
104	70,3466318691	0,00610501	0,0695971	3112,91523335	0,398019190091
104,5	70,6729142046	0,034188	0,029304	3119,19567975	0,397217785355
105	71,1297629194	0,00732601	0,0525031	3127,81931813	0,396122625376
105,5	71,3907887878	0,014652	0,017094	3132,65730157	0,39551086529
106	71,9780969917	0,00610501	0,034188	3143,30489124	0,394171116983
106,5	72,2391228601	0,017094	0,037851	3147,93120586	0,39359182872
107	72,7611745969	0,00732601	0,037851	3156,98773525	0,392462722033
107,5	73,0222004653	0,00976801	0,0561661	3161,41776204	0,391912772452
108	73,5442522021	0,00732601	0,014652	3170,08088013	0,390841762986
108,5	73,8052780705	0,00610501	0,025641	3174,31379162	0,390320579923
109	74,0663039389	0,00732601	0,0671551	3178,48082047	0,389808864669
109,5	74,5883556757	0,00732601	0,029304	3186,61688571	0,388813605287
110	74,8493815441	0,00610501	0,0573871	3190,58575323	0,388329948112
110,5	75,436689748	0,00610501	0,020757	3199,27346371	0,387275428016
111	75,6977156164	0,00610501	0,021978	3203,02682102	0,386821612566
111,5	76,2197673532	0,00732601	0,046398	3210,33402341	0,38594114848
112	76,4807932216	0,00610501	0,046398	3213,88771684	0,38551440161
112,5	77,0028449584	0,00610501	0,0525031	3220,79491936	0,384687641102
113	77,2638708268	0,00610501	0,013431	3224,14828509	0,384287535945
113,5	77,7859225636	0,00610501	0,0647131	3230,65419753	0,383513655206
114	78,1122048991	0,00610501	0,019536	3234,58422755	0,383047684907
114,5	78,5690001688	0,00610501	0,042735	3239,9100163	0,382418028206
115	78,8300260372	0,00610501	0,047619	3242,86088506	0,382070043679
115,5	79,1563083727	0,00488401	0,010989	3246,45481585	0,381647079747
116	79,6783601095	0,00610501	0,039072	3251,98607342	0,380997941574
116,5	79,9393859779	0,00610501	0,045177	3254,65048848	0,380686038144
117	80,4614377147	0,00610501	0,028083	3259,77661466	0,380087394464
Vernier Format 2
Ge_Lampe.cmbl 06.10.2014 12:53:55 ,
Latest 3
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

 	 	 	 	 	 
Vernier Format 2
Ge_Lampe.cmbl 06.10.2014 12:53:55 ,
Latest 4
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

 	 	 	 	 	 
